Артикул,Наименование ,Бренд,ЧЗ,НДС,Цена с 01.01.2026,Цена с 01.02.2026,Цена с 01.03.2026,Цена с 01.04.2026,Цена с 01.05.2026,Цена с 01.06.2026,Цена с 01.07.2026,Цена с 01.08.2026,
GLV-ELM-PNK-100-S,Перчатки эластомер прозрачные 100 пар S,ЭЛС,ЧЗ,22%,"129,0","129,0","129,0","129,0","138,0","138,0","138,0","138,0",
,,,,,,,,,,,,,
CAP-CHAR-BLK-1000,Шапочки черные 1000 штук (новый),Юнайт,,22%,"920,0","920,0","920,0","920,0","760,0","760,0","760,0","760,0",
CAP-CHAR-WHT-1000,Шапочки белые 1000 штук (новый),Юнайт,,10%,"790,0","790,0","790,0","790,0","720,0","720,0","720,0","720,0",
CAP-CHAR-BLU-1000,Шапочка 1000 Голубая,Юнайт,,10%,,,,"720,0","720,0","720,0","720,0","720,0",
CAP-CHAR-WHT-500,Шапочка 500 Белая,Юнайт,,10%,,,,"360,0","360,0","360,0","360,0","360,0",
CAP-CHAR-BLK-500,Шапочка 500 Черная,Юнайт,,22%,,,,"380,0","380,0","380,0","380,0","380,0",
CAP-CHAR-BLU-500,Шапочка 500 Голубая,Юнайт,,10%,,,,"360,0","360,0","360,0","360,0","360,0",
CAP-CHAR-WHT-100,Шапочка 100 Белая маленький литраж,Юнайт,,10%,,,,,"77,0","77,0","77,0","77,0",
CAP-CHAR-BLU-100,Шапочка 100 Голубая маленький литраж,Юнайт,,10%,,,,,"77,0","77,0","77,0","77,0",
CAP-CHAR-WHT-50,Шапочки Белые 50,Юнайт,,10%,"41,5","41,5","41,5","41,5","41,5","41,5","41,5","41,5",
CAP-CHAR-BLU-50,Шапочки Голубые 50,Юнайт,,10%,"41,5","41,5","41,5","41,5","41,5","41,5","41,5","41,5",
CAP-CHAR-BLK-50,Шапочки Черные 50,Юнайт,,22%,"48,0","48,0","48,0","48,0","48,0","48,0","48,0","48,0",
CAP-CHAR-PUR-50,Шапочки Фиолетовые 50,Юнайт,,22%,"48,0","48,0","48,0","48,0","48,0","48,0","48,0","48,0",
CAP-CHAR-PNK-50,Шапочки Розовые 50,Юнайт,,22%,"48,0","48,0","48,0","48,0","48,0","48,0","48,0","48,0",
CAP-DIS-PNK-50,Шапочка для душа одноразовая 50 шт,Юнайт,,22%,,,,,,"42,5","42,5","42,5",
CAP-DIS-PNK-100,Шапочка для душа одноразовая 100 шт,Юнайт,,22%,,,,,,"83,0","83,0","83,0",
SHOECOV-ECO-STD-WHT-50PR,Бахилы одноразовые эконом 50 пар,Юнайт,,10%,"38,0","38,0","38,0","38,0","38,0","40,0","40,0","40,0",
SHOECOV-OP-2EL-WHT-25PR,Бахилы с двойной подошвой 25 пар,Юнайт,,10%,"49,0","49,0","49,0","49,0","49,0","49,0","49,0","49,0",
SHOECOV-DP-2EL-WHT-50PR,Бахилы с двойной подошвой 50 пар,Юнайт,,10%,"98,0","98,0","98,0","98,0","98,0","103,0","103,0","103,0",
SHOECOV-STD-PUR-WHT-50PR,Бахилы 50 пар фиолет,Юнайт,,22%,"45,5","45,5","45,5","45,5","45,5","45,5","48,0","48,0",
SHOECOV-STD-BLK-WHT-50PR,Бахилы 50 пар черные ,Юнайт,,22%,"45,5","45,5","45,5","45,5","45,5","45,5","48,0","48,0",
,,,,,,,,,,,,,
LAMP-CLP-BLK-3W,Фонарик черный ,Китай,,22%,"159,0","159,0","159,0","158,0","158,0","158,0","158,0","158,0",
LAMP-CLP-SLV-3W,Фонарик серебрянный,Китай,,22%,"159,0","159,0","159,0","158,0","158,0","158,0","158,0","158,0",
LAMP-CLP-WHT-3W,Фонарик белый,Китай,,22%,"159,0","159,0","159,0","158,0","158,0","158,0","158,0","158,0",
LAMP-CLP-WHT-STD,Фонарик гибкий белый на подставке,Китай,,22%,"260,0","260,0","260,0","260,0","260,0","260,0","260,0","260,0",
LAMP-STD-WHT,Фонарик для маникюра ручной,Китай,,22%,"163,0","163,0","163,0","163,0","163,0","163,0","163,0","163,0",
LAMP-7LED-WHT,фонарик 7 диодов,Китай,,22%,"185,0","185,0","185,0","184,0","184,0","184,0","184,0","184,0",
WIPE-ORG-60,Сaлфетки,Китай,,22%,"103,0","103,0","103,0","103,0","103,0","103,0","103,0","103,0",
WIPE-ORG-120,Салфетки 120,Китай,,22%,"206,0","206,0","206,0","206,0","206,0","206,0","206,0","206,0",
WIPE-ORG-180,Салфетки 180,Китай,,22%,"309,0","309,0","309,0","309,0","309,0","309,0","309,0","309,0",
WIPE-ORG-240,Салфетки 240,Китай,,22%,"412,0","412,0","412,0","412,0","412,0","412,0","412,0","412,0",
WIPE-ORG-300,Салфетки 300,Китай,,22%,"515,0","515,0","515,0","515,0","515,0","515,0","515,0","515,0",
WIPE-ORG-32,Салфетки 20х15 32шт оранжевые,Китай,,22%,"38,0","38,0","38,0","38,0","38,0","38,0","38,0","38,0",
WIPE-BLU-170,Салфетки 20х20 170шт голубые,Китай,,22%,"314,0","314,0","314,0","314,0","314,0","314,0","314,0","314,0",
MASK-LIFT-WHT,Лифтинг-маска белая,Китай,,22%,"144,0","144,0","144,0","144,0","144,0","144,0","144,0","144,0",
MASK-LIFT-PNK,Лифтинг-маска розовая,Китай,,22%,"106,0","106,0","153,0","153,0","153,0","153,0","153,0","153,0",
